학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000013535,대전대성고등학교,고등학교,1955-04-27,사립,본교,운영,대전광역시 중구 목동 95-1,대전광역시 중구 목동로 23,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2020-09-22,36.33236448,127.407116,2021-03-25
B000025949,향동고등학교,고등학교,2021-03-01,공립,본교,운영,경기도 고양시 덕양구 향동동 540,경기도 고양시 덕양구 향기3로 6,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2021-03-22,37.59669267,126.8934462,2021-03-25
B000008294,동신중학교,중학교,1950-05-16,사립,본교,운영,서울특별시 강동구 천호동 447-9,서울특별시 강동구 진황도로 72,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.53664957,127.1341222,2021-03-25
B000010051,공주북중학교,중학교,1967-12-13,사립,본교,운영,충청남도 공주시 반죽동 4-1,충청남도 공주시 제민천1길 113,8140000,충청남도교육청,8161000,충청남도공주교육지원청,2013-11-29,2020-09-22,36.45590931,127.1219501,2021-03-25
B000011413,대구보건고등학교,고등학교,1954-04-11,사립,본교,운영,대구광역시 달서구 두류동 1207-1,대구광역시 달서구 두류남길 10,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2020-09-22,35.85878194,128.5730342,2021-03-25
B000025033,현천고등학교,고등학교,2015-03-01,공립,본교,운영,강원도 횡성군 둔내면 현천리 1103,강원도 횡성군 둔내면 경강로 4119,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,2020-09-22,37.48614179,128.1707638,2021-03-25
B000007997,동화초등학교,초등학교,1998-03-02,공립,본교,운영,제주특별자치도 제주시 화북일동 12-2,제주특별자치도 제주시 동화로1길 44,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2020-09-22,33.51901353,126.5757566,2021-03-25
B000013422,합천여자고등학교,고등학교,1970-05-20,사립,본교,운영,경상남도 합천군 합천읍 합천리 972,경상남도 합천군 합천읍 남정길 25-7,9010000,경상남도교육청,9221000,경상남도합천교육지원청,2013-11-29,2020-09-22,35.56316903,128.1550055,2021-03-25
B000010389,동계중학교,중학교,1999-09-01,공립,본교,운영,전라북도 순창군 동계면 관전리 247,전라북도 순창군 동계면 강동로 74,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2020-09-22,35.44898213,127.2398696,2021-03-25
B000012901,천안고등학교,고등학교,1954-02-19,사립,본교,운영,충청남도 천안시 동남구 봉명동 205-1,충청남도 천안시 동남구 봉명로 53,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2020-09-22,36.80830325,127.1350126,2021-03-25
B000012903,북일여자고등학교,고등학교,1997-03-06,사립,본교,운영,충청남도 천안시 동남구 신부동 287,충청남도 천안시 동남구 단대로 71,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2020-09-22,36.83052968,127.1591924,2021-03-25
B000007591,집현초등학교,초등학교,1925-06-08,공립,본교,운영,경상남도 진주시 집현면 지내리 125,경상남도 진주시 집현면 지내길 271,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2020-09-22,35.24179268,128.0924278,2021-03-25
